,tula,tver
street,1025.0,1006.0
road,1014.0,1005.0
outdoor,1007.0,987.0
riding,977.0,920.0
side,947.0,927.0
man,845.0,754.0
sign,841.0,856.0
track,837.0,774.0
driving,778.0,723.0
traveling,738.0,624.0
train,675.0,612.0
grass,646.0,663.0
country,611.0,609.0
parked,575.0,562.0
large,522.0,504.0
highway,480.0,533.0
traffic,406.0,407.0
scene,395.0,468.0
standing,385.0,346.0
city,345.0,294.0
motorcycle,331.0,282.0
snow,280.0,268.0
green,277.0,265.0
stop,269.0,273.0
tree,266.0,216.0
field,261.0,272.0
bus,254.0,251.0
dirt,242.0,191.0
sheep,242.0,160.0
mountain,222.0,155.0
hill,214.0,142.0
tall,202.0,227.0
car,196.0,174.0
truck,194.0,178.0
fire,192.0,157.0
people,192.0,163.0
narrow,182.0,141.0
old,161.0,148.0
path,148.0,96.0
coming,146.0,144.0
board,143.0,124.0
view,140.0,104.0
horse,125.0,123.0
building,123.0,123.0
walking,121.0,77.0
covered,118.0,80.0
going,108.0,60.0
cloudy,101.0,105.0
water,100.0,96.0
river,91.0,68.0
long,89.0,109.0
railroad,86.0,51.0
intersection,84.0,85.0
hydrant,82.0,59.0
small,78.0,58.0
group,78.0,71.0
smoke,73.0,62.0
grassy,71.0,45.0
trail,67.0,41.0
forest,65.0,29.0
steam,65.0,63.0
sitting,63.0,72.0
grazing,59.0,32.0
house,58.0,49.0
empty,57.0,106.0
herd,51.0,29.0
air,51.0,43.0
nature,46.0,43.0
trick,43.0,35.0
lot,43.0,48.0
doing,40.0,38.0
skiing,40.0,16.0
ramp,39.0,31.0
lined,39.0,29.0
parking,35.0,42.0
photo,33.0,50.0
double,32.0,38.0
park,31.0,32.0
bridge,30.0,21.0
light,26.0,17.0
brick,24.0,13.0
flying,23.0,18.0
young,21.0,18.0
blue,20.0,15.0
cow,20.0,19.0
plane,17.0,32.0
crossing,17.0,21.0
game,16.0,21.0
boat,15.0,24.0
station,14.0,9.0
slope,13.0,10.0
cross,13.0,6.0
clouds,13.0,19.0
clock,13.0,19.0
jumping,12.0,10.0
sidewalk,12.0,9.0
room,12.0,1.0
decker,12.0,22.0
cattle,11.0,8.0
airplane,11.0,14.0
indoor,10.0,
tower,10.0,9.0
engine,9.0,12.0
table,9.0,3.0
platform,9.0,1.0
middle,9.0,10.0
holding,8.0,5.0
bed,8.0,5.0
woman,8.0,6.0
ceiling,8.0,
surrounded,8.0,13.0
sunset,7.0,6.0
rain,7.0,7.0
leading,7.0,6.0
vehicle,6.0,6.0
corner,6.0,3.0
kitchen,6.0,
busy,6.0,7.0
bird,6.0,4.0
ocean,5.0,3.0
luggage,5.0,
living,5.0,
wooden,5.0,
rocky,5.0,
boy,5.0,1.0
pole,5.0,6.0
filled,5.0,7.0
beach,5.0,16.0
dog,5.0,
surfing,5.0,4.0
steel,4.0,
several,4.0,1.0
bicycle,4.0,1.0
runway,4.0,8.0
area,4.0,4.0
wave,3.0,1.0
pulling,3.0,2.0
blurry,3.0,2.0
plant,3.0,6.0
fence,3.0,2.0
stove,3.0,
wood,3.0,
umbrella,3.0,8.0
palm,3.0,1.0
town,3.0,9.0
sun,3.0,5.0
rail,3.0,2.0
stainless,3.0,
barn,3.0,2.0
kite,2.0,4.0
counter,2.0,1.0
passenger,2.0,
day,2.0,2.0
jet,2.0,2.0
brown,2.0,1.0
wet,2.0,
sink,2.0,
furniture,2.0,
many,2.0,5.0
front,2.0,5.0
floor,2.0,
performing,2.0,
diagram,2.0,
tarmac,2.0,
hillside,2.0,
calendar,1.0,
restaurant,1.0,
stopped,1.0,
trailer,1.0,
helmet,1.0,
church,1.0,
zoo,1.0,
carrying,1.0,
bedroom,1.0,
enclosure,1.0,
oven,1.0,
commercial,1.0,
stone,1.0,1.0
library,1.0,
television,1.0,
mirror,1.0,2.0
eating,1.0,
waiting,1.0,
graffiti,1.0,
lake,1.0,1.0
ship,1.0,
refrigerator,1.0,
object,1.0,
residential,1.0,1.0
full,1.0,
laying,1.0,5.0
bench,1.0,6.0
home,1.0,
book,1.0,
pulled,1.0,
transport,1.0,
farm,1.0,
desert,1.0,1.0
shelf,1.0,
silver,1.0,
open,1.0,
display,1.0,
rock,1.0,2.0
night,,5.0
baseball,,4.0
castle,,4.0
sand,,3.0
orange,,2.0
sandy,,1.0
docked,,1.0
giraffe,,1.0
crowd,,1.0
bushes,,1.0
body,,1.0
sky,,1.0
rainy,,1.0
yard,,1.0
drawn,,1.0
